Language,Title,Genre,Hours Viewed
German,Doppelhaushälfte,"('Comedy',)",200000
German,Crooks,"('Action', 'Crime', 'Thriller')",13600000
German,Türkisch für Anfänger,"('Comedy',)",6300000
German,Schlafende Hunde,"('Drama', 'Crime', 'Thriller')",4700000
German,Kleo,"('Action', 'Thriller', 'Espionage')",5500000
German,Dead End,"('Drama', 'Crime')",1500000
German,Tribes of Europa,"('Drama', 'Action', 'Science-Fiction')",2200000
German,Dogs of Berlin,"('Drama', 'Crime', 'Thriller')",3400000
German,Die drei !!!,"('Family', 'Mystery')",2300000
Hindi,Special OPS,"('Drama', 'Thriller')",68700000
Hindi,Dabba Cartel,"('Drama', 'Comedy', 'Crime')",50100000
Hindi,Black Warrant,"('Drama', 'Crime')",37900000
Hindi,Khakee: The Bihar Chapter,"('Drama', 'Action', 'Crime')",31700000
Hindi,Rana Naidu,"('Drama', 'Crime', 'Thriller')",15200000
Hindi,Mismatched,"('Drama', 'Comedy', 'Romance')",5500000
Hindi,IC 814: The Kandahar Hijack,"('Thriller',)",7000000
Hindi,Tribhuvan Mishra CA Topper,"('Comedy', 'Crime', 'Thriller')",8100000
Hindi,Heeramandi: The Diamond Bazaar,"('Drama', 'Romance', 'History')",6600000
Hindi,Maamla Legal Hai,"('Comedy', 'Legal')",3800000
Hindi,Yeh Kaali Kaali Ankhein,"('Drama', 'Crime', 'Thriller')",3500000
Hindi,Jamtara - Sabka Number Ayega,"('Drama', 'Crime', 'Thriller')",2600000
Hindi,Bard of Blood,"('Action', 'Thriller', 'Espionage')",2500000
Hindi,She,"('Drama', 'Crime', 'Thriller')",2200000
Hindi,Aranyak,"('Drama', 'Crime', 'Thriller')",2300000
Hindi,Guns & Gulaabs,"('Drama', 'Comedy', 'Crime')",2200000
Hindi,Mai,"('Drama', 'Crime', 'Thriller')",2100000
Italian,Sara - La donna nell'ombra,"('Drama', 'Crime', 'Thriller')",58900000
Italian,Inganno,"('Drama', 'Thriller')",23600000
Italian,ACAB,"('Drama', 'Crime', 'Thriller')",21400000
Italian,Adorazione,"('Drama', 'Crime')",18500000
Italian,Supersex,"('Drama', 'Adult')",6900000
Italian,DI4RI,"('Drama', 'Comedy', 'Family')",5800000
Italian,Fedeltà,"('Drama',)",4200000
Italian,Baby,"('Drama',)",4100000
Italian,Mare fuori,"('Drama',)",600000
Italian,Briganti,"('Drama', 'Action', 'History')",4300000
Italian,IL RE,"('Drama', 'Crime')",2600000
Italian,Luna Nera,"('Drama', 'Fantasy')",3100000
Italian,Suburræterna,"('Drama', 'Crime', 'Thriller')",3900000
Italian,Tutto chiede salvezza,"('Drama', 'Comedy')",1600000
Italian,La vita che volevi,"('Drama',)",2400000
Japanese,Alice in Borderland,"('Science-Fiction', 'Thriller', 'Mystery')",66600000
Japanese,The Hot Spot,"('Drama', 'Comedy', 'Science-Fiction')",24600000
Japanese,Tokyo Swindlers,"('Drama', 'Crime', 'Thriller')",14700000
Japanese,Golden Kamuy: Hokkaido Shisei Shujin Soudatsuhen,"('Action', 'Adventure')",18500000
Japanese,Grand Maison Tokyo,"('Drama', 'Food')",21700000
Japanese,Beyond Goodbye,"('Drama', 'Romance')",13100000
Japanese,Yu Yu Hakusho,"('Action', 'Fantasy')",8700000
Japanese,Asura,"('Drama', 'Family')",14100000
Japanese,House of Ninjas,"('Drama', 'Action')",13500000
Japanese,99.9,"('Crime', 'Mystery', 'Legal')",1000000
Japanese,Galileo,"('Crime', 'Mystery')",7800000
Japanese,Chastity High,"('Drama',)",7300000
Japanese,Burn the House Down,"('Drama', 'Thriller', 'Mystery')",7100000
Japanese,Kikazaru Koi ni wa Riyuu ga Atte,"('Drama', 'Romance')",7700000
Japanese,Yamato Nadeshiko,"('Romance',)",7500000
Japanese,Kurosagi,"('Crime', 'Thriller', 'Mystery')",7400000
Japanese,Confidence Man JP,"('Drama', 'Comedy')",7000000
Japanese,Koi wa Tsuzuku yo Dokomademo,"('Drama', 'Romance', 'Medical')",6300000
Japanese,After School Doctor,"('Drama',)",5800000
Japanese,Watashi no Kaseifu Nagisa-san,"('Comedy', 'Family', 'Romance')",6100000
Japanese,Unnatural,"('Drama', 'Crime')",5400000
Japanese,Prison Princesses,"('Drama', 'Comedy')",5100000
Japanese,Sky High,"('Drama', 'Horror')",3700000
Japanese,Jin,"('Fantasy', 'Medical', 'History')",6900000
Japanese,AARO: All-domain Anomaly Resolution Office,"('Drama',)",4500000
Japanese,Anata no Koto wa Sorehodo,"('Drama', 'Romance')",4400000
Japanese,The Days,"('Drama',)",4400000
Japanese,Nodame Cantabile,"('Comedy', 'Music', 'Romance')",4200000
Japanese,"Tsuma, Shougakusei ni Naru.","('Comedy', 'Family', 'Romance')",3600000
Japanese,Fishbowl Wives,"('Drama',)",3100000
Japanese,Samayou Yaiba,"('Drama', 'Mystery')",2700000
Japanese,Aoshima-kun wa Ijiwaru,"('Drama',)",2000000
Japanese,Tokyo MER: Hashiru Kinkyuukyuumeishitsu,"('Drama', 'Thriller', 'Medical')",4500000
Japanese,Let's Get Divorced,"('Drama', 'Comedy', 'Romance')",3700000
Japanese,A Life,"('Drama', 'Romance', 'Medical')",3500000
Japanese,Beautiful Life,"('Drama', 'Romance')",3500000
Japanese,Stepmother and Daughter's Blues,"('Drama', 'Family')",3500000
Japanese,Jizoku Kanona Koi Desuka: Chichi to Musume no Kekkon Koushinkyoku,"('Comedy', 'Romance')",3300000
Japanese,Good Luck!!,"('Drama',)",3200000
Japanese,Arifureta Kiseki,"('Drama',)",1400000
Japanese,Yamikin Ushijima-kun,"('Drama',)",1500000
Norwegian,La Palma,"('Drama', 'Thriller')",96400000
Norwegian,Ragnarok,"('Drama', 'Fantasy', 'Mystery')",5900000
Norwegian,Pørni,"('Drama', 'Comedy')",2700000
Norwegian,Bortført,"('Drama', 'Crime', 'Thriller')",2800000
Norwegian,Milliardærøya,"('Drama', 'Comedy')",1700000
Portuguese,Sintonia,"('Drama', 'Action', 'Crime')",45600000
Portuguese,DNA do Crime,"('Drama', 'Action', 'Crime')",57200000
Portuguese,Pedaço de Mim,"('Drama', 'Romance')",36300000
Portuguese,Luz,"('Comedy', 'Adventure', 'Family')",9800000
Portuguese,1 Contra Todos,"('Drama', 'Action', 'Crime')",3300000
Portuguese,Os Quatro da Candelária,"('Drama',)",2500000
Portuguese,De Volta Aos 15,"('Drama', 'Comedy')",2500000
Portuguese,A Sogra Que Te Pariu,"('Comedy',)",2300000
Portuguese,3%,"('Drama', 'Science-Fiction', 'Thriller')",3300000
Portuguese,Olhar Indiscreto,"('Drama', 'Thriller', 'Mystery')",3300000
Swedish,Åremorden,"('Drama', 'Crime', 'Thriller')",118400000
Swedish,Glaskupan,"('Drama', 'Crime', 'Thriller')",94300000
Swedish,Barracuda Queens,"('Drama', 'Crime')",7000000
Swedish,En helt vanlig familj,"('Drama', 'Crime', 'Thriller')",10900000
Swedish,Störst av Allt,"('Drama', 'Crime', 'Thriller')",8900000
Swedish,Helikopterrånet,"('Action', 'Crime', 'Thriller')",5300000
Swedish,Young Royals,"('Drama', 'Romance')",3500000
Swedish,The Playlist,"('Drama', 'Music')",3500000
Swedish,Kalifat,"('Drama', 'Thriller')",3000000
Swedish,Snabba cash,"('Drama', 'Crime')",1700000
Thai,Mad Unicorn,"('Drama',)",48600000
Thai,Don't Come Home,"('Drama', 'Horror', 'Thriller')",10700000
Thai,Master of the House,"('Drama', 'Thriller', 'Mystery')",12200000
Thai,Dala Bupha Khattakam,"('Thriller', 'Mystery')",11100000
Thai,"Ready, Set, Love","('Comedy', 'Romance')",11300000
Thai,Girl from Nowhere,"('Drama', 'Fantasy', 'Thriller')",10800000
Thai,Love in the Moonlight,"('Drama', 'Romance')",9700000
Thai,Terror Tuesday: Extreme,"('Horror',)",2700000
Thai,Thame - Po Heart That Skips a Beat,"('Drama', 'Music', 'Romance')",4100000
Thai,Anakhot,"('Drama', 'Science-Fiction')",2100000
Turkish,Kimler Geldi Kimler Geçti,"('Drama', 'Comedy', 'Romance')",38000000
Turkish,İstanbul Ansiklopedisi,"('Drama', 'Comedy', 'Romance')",16600000
Turkish,Adsız Aşıklar,"('Drama', 'Comedy', 'Romance')",18300000
Turkish,Asaf,"('Drama', 'Thriller')",10100000
Turkish,Zeytin Ağacı,"('Drama', 'Romance')",12300000
Turkish,The Protector,"('Action', 'Fantasy', 'Thriller')",7800000
Turkish,Kuş Uçuşu,"('Drama',)",4300000
Turkish,Biz Kimden Kaçıyorduk Anne?,"('Drama', 'Crime')",4100000
Turkish,Şahmaran,"('Drama', 'Fantasy', 'Romance')",2700000
Turkish,Aşk 101,"('Drama', 'Comedy', 'Romance')",2900000
Turkish,Yakamoz S-245,"('Drama', 'Science-Fiction', 'Thriller')",2800000
Turkish,Kördügüm,"('Drama',)",3300000
Turkish,Pera Palas'ta Gece Yarısı,"('Drama', 'Fantasy')",2300000
